filename,width,height,class,xmin,ymin,xmax,ymax
Pias (862)_jpg.rf.90fc156f7b2557e48d1cda910d0ed79a.jpg,1024,1024,truck,552,433,615,559
Pias (641)_jpg.rf.976c82c6f7b948d273862a6e54e77986.jpg,1024,1024,truck,340,687,395,755
Pias (641)_jpg.rf.976c82c6f7b948d273862a6e54e77986.jpg,1024,1024,car,324,752,411,882
Pias (641)_jpg.rf.976c82c6f7b948d273862a6e54e77986.jpg,1024,1024,van,403,754,446,848
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,rickshaw,0,331,200,868
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,rickshaw,246,326,371,711
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,car,330,415,647,858
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,minivan,513,357,622,468
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,minivan,390,394,446,453
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,car,357,421,418,504
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,rickshaw,804,386,882,542
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,rickshaw,917,363,994,579
sabiha(68)_jpg.rf.924302c9a68390052570db86921a0cc3.jpg,1024,1024,motorbike,231,415,263,492
Pias (564)_jpg.rf.9ea323bc0ebf2913f7633938d0c25409.jpg,1024,1024,truck,803,478,960,658
Pias (558)_jpg.rf.a20873a8d195f1886def2b7ba16e3a66.jpg,1024,1024,truck,571,607,600,646
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,rickshaw,1,163,193,1022
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,rickshaw,200,317,330,670
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,three wheelers (CNG),338,304,532,700
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,car,520,359,563,473
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,rickshaw,551,334,600,496
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,car,598,330,716,518
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,minivan,645,332,718,454
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,bus,547,325,630,386
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,rickshaw,930,290,994,451
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,rickshaw,864,303,937,454
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,rickshaw,791,303,856,450
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,car,769,349,787,395
sabiha(82)_jpg.rf.a325b7474fde4fef1e4759130b72bb96.jpg,1024,1024,rickshaw,751,334,778,397
Pias (609)_jpg.rf.945c87a4d89a8a9c67e2d8cd002d3cde.jpg,1024,1024,bus,702,711,803,831
Pias (609)_jpg.rf.945c87a4d89a8a9c67e2d8cd002d3cde.jpg,1024,1024,bus,195,649,274,777
Pias (609)_jpg.rf.945c87a4d89a8a9c67e2d8cd002d3cde.jpg,1024,1024,pickup,489,552,655,825
Pias (609)_jpg.rf.945c87a4d89a8a9c67e2d8cd002d3cde.jpg,1024,1024,truck,353,703,398,782
Pias (706)_jpg.rf.991df622641a80d94886421b283534b9.jpg,1024,1024,suv,734,601,912,880
Pias (706)_jpg.rf.991df622641a80d94886421b283534b9.jpg,1024,1024,pickup,899,599,1024,863
Pias (706)_jpg.rf.991df622641a80d94886421b283534b9.jpg,1024,1024,car,435,642,753,1023
Pias (706)_jpg.rf.991df622641a80d94886421b283534b9.jpg,1024,1024,motorbike,293,796,400,1023
Pias (706)_jpg.rf.991df622641a80d94886421b283534b9.jpg,1024,1024,motorbike,391,766,428,876
Pias (706)_jpg.rf.991df622641a80d94886421b283534b9.jpg,1024,1024,motorbike,436,744,450,824
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,truck,6,449,303,957
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,three wheelers (CNG),437,638,614,988
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,car,678,653,1019,1012
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,minivan,647,640,805,796
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,car,588,685,614,762
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,minivan,414,677,441,740
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,suv,286,677,321,765
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,bus,366,659,391,709
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,wheelbarrow,359,694,376,741
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,car,441,688,458,711
Asraf_74_jpg.rf.9a1ddb93a8b4e3131a16fa2558c56f6b.jpg,1024,1024,car,594,676,612,719
Pias (780)_jpg.rf.a38a03dedf85e1387e236a93758b5aff.jpg,1024,1024,motorbike,479,439,501,477
Pias (780)_jpg.rf.a38a03dedf85e1387e236a93758b5aff.jpg,1024,1024,auto rickshaw,110,458,153,514
Pias (799)_jpg.rf.a52df3421b89a3307b984145f9815441.jpg,1024,1024,bus,819,351,983,481
Pias (799)_jpg.rf.a52df3421b89a3307b984145f9815441.jpg,1024,1024,bus,546,424,566,458
Pias (799)_jpg.rf.a52df3421b89a3307b984145f9815441.jpg,1024,1024,bus,467,432,485,460
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,wheelbarrow,263,711,354,828
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,car,369,687,496,884
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,minivan,489,674,550,804
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,car,593,702,726,862
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,car,730,698,859,812
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,three wheelers (CNG),702,696,724,758
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,car,724,706,745,748
Asraf_66_jpg.rf.97916ae00995fb104db9a6f5dc1b47bb.jpg,1024,1024,minivan,590,687,620,741
Pias (828)_jpg.rf.95cbc9626765d3a47179652fbe4f32c4.jpg,1024,1024,van,492,502,540,583
Pias (774)_jpg.rf.a04a9c13ec84f8f62dcf48024302f388.jpg,1024,1024,motorbike,606,412,680,518
Pias (709)_jpg.rf.a38215360d913c8d77f21f17cca7dbe2.jpg,1024,1024,motorbike,440,745,457,820
