filename,width,height,class,xmin,ymin,xmax,ymax
Shykat_4_ (36)_jpg.rf.009b7a209c900850c728b8b11a7d7477.jpg,1024,1024,car,513,167,710,472
Shykat_4_ (36)_jpg.rf.009b7a209c900850c728b8b11a7d7477.jpg,1024,1024,three wheelers (CNG),461,223,521,384
Shykat_4_ (36)_jpg.rf.009b7a209c900850c728b8b11a7d7477.jpg,1024,1024,car,769,131,869,246
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,rickshaw,725,359,795,498
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,rickshaw,88,487,154,607
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,rickshaw,0,560,58,674
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,pickup,0,615,251,1021
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,pickup,357,512,462,760
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,pickup,805,401,930,601
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,car,223,777,383,1022
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,bus,494,359,693,729
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,bus,276,262,383,493
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,bus,152,362,293,582
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,pickup,82,521,258,699
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,bus,587,265,699,471
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,truck,339,276,466,548
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,minivan,242,448,346,570
sabiha(206)_jpg.rf.037659f3819d2bff56c5d5024ba441ef.jpg,1024,1024,bus,490,251,554,379
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,bus,105,566,346,920
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,bus,0,614,119,1023
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,bus,379,542,449,651
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,bus,451,537,473,619
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,bus,469,536,479,593
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,bus,476,533,486,577
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,bicycle,434,617,451,700
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,truck,503,516,536,618
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,car,546,585,573,627
Shykat_5_ (114)_jpg.rf.033a055e17aca4d9bef1d9df1a4b105a.jpg,1024,1024,car,545,569,566,586
